INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ001', '10888', '9888', '2.0', 'MY HEART', 'img/display/nv/nvjie1.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ002', '9888', '8888', '2.0', 'FOREVER', 'img/display/nv/nvjie2.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ003', '10988', '10888', '2.0', 'TRUE LOVE', 'img/display/nv/nvjie3.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ004', '8888', '7888', '2.0', 'I SWARE', 'img/display/nv/nvjie4.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ005', '9888', '8888', '2.0', 'JUST YOU', 'img/display/nv/nvjie5.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ006', '10888', '9888', '2.0', 'BELIEVE', 'img/display/nv/nvjie6.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ007', '10888', '10788', '2.0', 'LOVE LINE', 'img/display/nv/nvjie7.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ008', '10888', '9888', '2.0', 'PRINCESS', 'img/display/nv/nvjie8.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ009', '9888', '8888', '2.0', 'LOVE LINE', 'img/display/nv/nvjie9.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ010', '10888', '10588', '2.0', 'MY HEART', 'img/display/nv/nvjie10.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ011', '6888', '5888', '2.0', 'FOREVER', 'img/display/nv/nvjie11.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ012', '7888', '6888', '2.0', 'TRUE LOVE', 'img/display/nv/nvjie12.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ013', '8888', '7888', '2.0', 'I SWARE', 'img/display/nv/nvjie13.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ014', '11888', '10888', '2.0', 'JUST YOU', 'img/display/nv/nvjie14.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ015', '12888', '11888', '2.0', 'BELIEVE', 'img/display/nv/nvjie15.jpg');
INSERT INTO `product` (`category`, `productNumber`, `marketPrice`, `price`, `weight`, `series`, `imgSrc`) VALUES ('钻石女戒', 'ZZZSNJ016', '11888', '9988', '2.0', 'LOVE LINE', 'img/display/nv/nvjie16.jpg');


